DateKey;CalendarYear;CalendarHalfYearLabel;CalendarQuarterLabel;CalendarMonth;CalendarMonthLabel;CalendarWeekLabel;CalendarDayOfWeekLabel;IsWorkDay;Start of Week;End of Week
2008-02-14 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 7";"Thursday";"WorkDay";2008-02-10 00:00:00,000;2008-02-17 00:00:00,000
2008-02-15 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 7";"Friday";"WorkDay";2008-02-10 00:00:00,000;2008-02-17 00:00:00,000
2008-02-18 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 8";"Monday";"WorkDay";2008-02-17 00:00:00,000;2008-02-24 00:00:00,000
2008-02-19 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 8";"Tuesday";"WorkDay";2008-02-17 00:00:00,000;2008-02-24 00:00:00,000
2008-02-20 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 8";"Wednesday";"WorkDay";2008-02-17 00:00:00,000;2008-02-24 00:00:00,000
2008-02-21 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 8";"Thursday";"WorkDay";2008-02-17 00:00:00,000;2008-02-24 00:00:00,000
2008-02-22 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 8";"Friday";"WorkDay";2008-02-17 00:00:00,000;2008-02-24 00:00:00,000
2008-02-25 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 9";"Monday";"WorkDay";2008-02-24 00:00:00,000;2008-03-02 00:00:00,000
2008-02-26 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 9";"Tuesday";"WorkDay";2008-02-24 00:00:00,000;2008-03-02 00:00:00,000
2008-02-27 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 9";"Wednesday";"WorkDay";2008-02-24 00:00:00,000;2008-03-02 00:00:00,000
2008-02-28 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 9";"Thursday";"WorkDay";2008-02-24 00:00:00,000;2008-03-02 00:00:00,000
2008-02-29 00:00:00,000;2008;"H1";"Q1";200802;"February";"Week 9";"Friday";"WorkDay";2008-02-24 00:00:00,000;2008-03-02 00:00:00,000
2008-03-03 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 10";"Monday";"WorkDay";2008-03-02 00:00:00,000;2008-03-09 00:00:00,000
2008-03-04 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 10";"Tuesday";"WorkDay";2008-03-02 00:00:00,000;2008-03-09 00:00:00,000
2008-03-05 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 10";"Wednesday";"WorkDay";2008-03-02 00:00:00,000;2008-03-09 00:00:00,000
2008-03-06 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 10";"Thursday";"WorkDay";2008-03-02 00:00:00,000;2008-03-09 00:00:00,000
2008-03-07 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 10";"Friday";"WorkDay";2008-03-02 00:00:00,000;2008-03-09 00:00:00,000
2008-03-10 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 11";"Monday";"WorkDay";2008-03-09 00:00:00,000;2008-03-16 00:00:00,000
2008-03-11 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 11";"Tuesday";"WorkDay";2008-03-09 00:00:00,000;2008-03-16 00:00:00,000
2008-03-12 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 11";"Wednesday";"WorkDay";2008-03-09 00:00:00,000;2008-03-16 00:00:00,000
2008-03-13 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 11";"Thursday";"WorkDay";2008-03-09 00:00:00,000;2008-03-16 00:00:00,000
2008-03-14 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 11";"Friday";"WorkDay";2008-03-09 00:00:00,000;2008-03-16 00:00:00,000
2008-03-17 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 12";"Monday";"WorkDay";2008-03-16 00:00:00,000;2008-03-23 00:00:00,000
2008-03-18 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 12";"Tuesday";"WorkDay";2008-03-16 00:00:00,000;2008-03-23 00:00:00,000
2008-03-19 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 12";"Wednesday";"WorkDay";2008-03-16 00:00:00,000;2008-03-23 00:00:00,000
2008-03-20 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 12";"Thursday";"WorkDay";2008-03-16 00:00:00,000;2008-03-23 00:00:00,000
2008-03-21 00:00:00,000;2008;"H1";"Q1";200803;"March";"Week 12";"Friday";"WorkDay";2008-03-16 00:00:00,000;2008-03-23 00:00:00,000
